exp,phi_0,dV_ges,eps_0,h_dp_max,h_w_0,V_dp,Sep. Eff.,status
5mmol_30C,0.000555569,1999.558397,0.399950722,0.025517495,0.089309071,0.02311876262304071,1.0,success
5mmol_30C,0.000562159,1999.149445,0.399912062,0.026224524,0.088778442,0.023272527983462358,1.0,success
10mmol_21C,0.000544087,741.1380162,0.298462091,0.039465617,0.091228983,0.02269569027139755,1.0,success
10mmol_21C,0.00045836,755.3013832,0.302225065,0.045065751,0.092706983,0.022329048526373626,1.0,success
10mmol_21C,0.000302308,739.6016638,0.296834975,0.035464901,0.099475516,0.020570382231378522,1.0,success
10mmol_21C,0.000204621,743.101701,0.297018934,0.036502928,0.096633422,0.021315136788034098,1.0,success
10mmol_21C,0.000521937,747.9569472,0.40036071,0.03591162,0.089501397,0.023147091361291727,1.0,success
10mmol_21C,0.000449277,749.974026,0.399764919,0.038463404,0.095001254,0.02176575997861364,1.0,success
10mmol_21C,0.000285464,741.2064013,0.399049243,0.03516927,0.106014196,0.018942055667493483,1.0,success
10mmol_21C,0.000241941,750.207822,0.400023387,0.066916982,0.106790285,0.018678413378175253,1.0,success
10mmol_21C,0.000657257,748.3678846,0.503339395,0.028484735,0.092660582,0.02232084850063461,1.0,success
10mmol_21C,0.000528084,758.1221102,0.500358875,0.042228937,0.09939603,0.020683017973206083,1.0,success
10mmol_21C,0.000359151,742.2261453,0.498404384,0.03516519,0.108600243,0.018258320929409613,1.0,success
10mmol_21C,0.00031128,749.9297278,0.49988101,0.038919571,0.107723963,0.018469707091218167,1.0,success
10mmol_21C,0.000478417,1001.588372,0.300530326,0.04280157,0.103238596,0.019710477950248714,1.0,success
10mmol_21C,0.00049956,999.2889087,0.29977596,0.040141707,0.102442293,0.019891293886858674,1.0,success
10mmol_21C,0.000321268,1004.324935,0.301183481,0.034455592,0.109297392,0.018093581767954472,1.0,success
10mmol_21C,0.000270206,1000.556021,0.29982659,0.041210475,0.107326958,0.018573306543964323,1.0,success
10mmol_21C,0.000496612,1010.338929,0.401125093,0.04508224,0.100575394,0.02033922634472852,1.0,success
10mmol_21C,0.000538199,992.5987236,0.400130769,0.04503236,0.10001264,0.02050796966646567,1.0,success
10mmol_21C,0.000354805,1005.667141,0.399870462,0.043609781,0.110734652,0.017643273454592597,1.0,success
10mmol_21C,0.00030498,998.6327765,0.399839514,0.038087335,0.109641806,0.017949724410860676,1.0,success
10mmol_21C,0.000571614,1012.474803,0.49980213,0.046878808,0.100384342,0.02032874265419347,1.0,success
10mmol_21C,0.000617876,988.0668846,0.500028205,0.049885762,0.099515904,0.020555973922664783,1.0,success
10mmol_21C,0.000434109,985.6111681,0.497841901,0.073446624,0.110014009,0.017828428981091667,1.0,success
10mmol_21C,0.000379055,1001.503179,0.49926978,0.06168959,0.10874371,0.018171912892479353,1.0,success
10mmol_21C,0.000501532,1249.423799,0.299994527,0.039067487,0.109497229,0.018005443665138655,1.0,success
10mmol_21C,0.000503923,1251.817605,0.299480344,0.047531765,0.109779302,0.017940422282696177,1.0,success
10mmol_21C,0.00034782,1249.972052,0.299996185,0.047035642,0.109754391,0.017897589387460822,1.0,success
10mmol_21C,0.000276122,1249.905575,0.300056612,0.045309544,0.111006706,0.017572992345213746,1.0,success
10mmol_21C,0.000540365,1253.811344,0.400506867,0.046744598,0.098130669,0.02095892552205294,1.0,success
10mmol_21C,0.000524807,1254.113769,0.401062998,0.037531784,0.104900016,0.01920242732663183,1.0,success
10mmol_21C,0.000390749,1237.241983,0.398815701,0.042380694,0.108946439,0.018106883412983384,1.0,success
10mmol_21C,0.000330849,1239.463207,0.399115651,0.048708188,0.108711746,0.01817274103099485,1.0,success
10mmol_21C,0.00056679,1252.344689,0.501636811,0.044913554,0.098336362,0.0208614711830891,1.0,success
10mmol_21C,0.000600977,1240.939849,0.499425408,0.044640607,0.098248176,0.020883917975567066,1.0,success
10mmol_21C,0.00048327,1254.407693,0.50056331,0.055029842,0.102968558,0.01967438894210563,1.0,success
10mmol_21C,0.000492745,750.2517853,0.299888778,0.03644848,0.100196136,0.02037443890272439,1.0,success
10mmol_21C,0.000326583,741.6100453,0.298191785,0.035661086,0.104411048,0.01929819000031039,1.0,success
10mmol_21C,0.000225011,745.8283201,0.298307962,0.032729744,0.107690773,0.018458955626819866,1.0,success
10mmol_21C,0.000508224,748.8063905,0.399980643,0.035481061,0.097909155,0.020997191361351263,1.0,success
10mmol_21C,0.000385542,761.3440655,0.401427842,0.037443071,0.104410629,0.019387632142774183,1.0,success
10mmol_21C,0.000278176,751.4093995,0.400738686,0.048454604,0.108353029,0.018308153070417905,1.0,success
10mmol_21C,0.000578293,750.8784104,0.499324255,0.033814475,0.099111609,0.02076544697567637,1.0,success
10mmol_21C,0.000449791,757.1490031,0.499654468,0.043603259,0.103049441,0.019714298815713464,1.0,success
10mmol_21C,0.000338769,750.0573319,0.499894576,0.03802335,0.108397884,0.01830551427921293,1.0,success
10mmol_21C,0.000505238,1001.364701,0.300283637,0.041271736,0.102398581,0.01991861057404482,1.0,success
10mmol_21C,0.000377858,999.6735997,0.30006925,0.036809691,0.108183192,0.018379344991472174,1.0,success
10mmol_21C,0.00028555,999.0802686,0.300038366,0.038511337,0.107811647,0.018477097114190096,1.0,success
10mmol_21C,0.000470111,1010.098899,0.401582726,0.043640802,0.101165298,0.020201081856305803,1.0,success
10mmol_21C,0.000427133,993.203178,0.39933699,0.041300086,0.104379964,0.01935573067611139,1.0,success
