exp,phi_0,dV_ges,eps_0,h_dp_0,h_w_0,V_dp,Sep. Eff.,L_dp,dpz_flooded,status,h_dpz_0,h_dpz_1,h_dpz_2
15mmol_20C,0.0004132673799066,1251.8935572815535,0.3000824450508341,0.0310207143784416,0.1049973224979106,0.01701880429233661,1.0,1.157,False,success,0.030562616706143853,0.030562616706143853,0.0
2mmol_21C,0.0007012741622249,1924.43022815534,0.4051928628207774,0.04440175,0.0968169296918767,0.02145571286908234,1.0,1.3,True,success,0.10298320980049434,0.10298320980049434,0.0
15mmol_20C,0.0005262948212044,1004.8031040453074,0.5000378005996254,0.0380360221412013,0.1019388649980778,0.019919695956712745,1.0,1.3,True,success,0.04238563568384088,0.04238563568384088,0.0
2mmol_21C,0.0006373718749577,1500.0514666666668,0.2999424985976734,0.0358459999999999,0.1085776496598639,0.016555252863072085,1.0,1.183,False,success,0.03520382034442117,0.03520382034442117,0.0
15mmol_30C,0.0003272770673782,750.0605118122977,0.499916718946949,0.0252662042493901,0.1103543878487563,0.014985296157448343,1.0,1.0985,False,success,0.02486180216144418,0.02486180216144418,0.0
5mmol_30C,0.0005621593437695,1999.149445307444,0.3999120622415775,0.0335947999999999,0.0887784420891726,0.00968670231223192,1.0,0.5395,False,success,0.03242173907896684,0.03242173907896684,0.0
10mmol_21C,0.0002761222668056,1249.9055754045307,0.3000566116831281,0.0371610404761904,0.1110067059710197,0.017619427238013866,1.0,1.3,True,success,0.053391470721749726,0.053391470721749726,0.0
10mmol_30C,0.0003544279807638,708.8722381877025,0.5028645217248477,0.0259918796545008,0.1085523041852844,0.016925694294740907,1.0,1.209,False,success,0.025910146367971704,0.025910146367971704,0.0
15mmol_20C,0.0004090284703598,1259.034652265372,0.4012671901713452,0.0319788091892955,0.1072793023460798,0.018599931878488768,1.0,1.3,True,success,0.06038295539302162,0.06038295539302162,0.0
2mmol_21C,0.0006318123760649,1500.2585396440131,0.3000493519555831,0.0462224333333333,0.1120298641304347,0.016605868012094342,1.0,1.2480000000000002,False,success,0.045815693179098824,0.045815693179098824,0.0
15mmol_30C,0.0003391830958664,744.8778032362461,0.2981946384828475,0.0262363928765678,0.1039474347040922,0.009309714670802945,1.0,0.6240000000000001,False,success,0.025748270846703433,0.025748270846703433,0.0
15mmol_20C,0.0002093814177582,745.0419092233008,0.2994856625524135,0.0274881217252885,0.1045735463630351,0.013750948938985786,1.0,0.9295,False,success,0.027116895118130757,0.027116895118130757,0.0
10mmol_21C,0.0005440872225866,741.13801618123,0.2984620911048791,0.0367717875821294,0.0912289828454878,0.009987166689447682,1.0,0.5720000000000001,False,success,0.036595818516223524,0.036595818516223524,0.0
10mmol_30C,0.0005093737353384,998.6851726537216,0.2997178337437997,0.0315202605342574,0.1093128379982055,0.011701780717929213,1.0,0.845,False,success,0.031151621418562175,0.031151621418562175,0.0
